,Abilities,Attack,Base EXP,Base Happiness,Catch rate,Defense,EV yield,Egg Groups,Egg cycles,Gender,Growth Rate,HP,Height,Japanese,Local №,National №,Sp. Atk,Sp. Def,Species,Speed,Type,Weight,desc,name
45,Dry SkinEffect SporeDamp (hidden ability),70,70,70 (normal),"190 (24.8% with PokBall, full HP)",55, 1 Attack," Bug, Grass ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,35,1′0″ (0.30m),Parasu,"046 (Red,Blue,Yellow,FireRed,LeafGreen)070 (Gold,Silver,Crystal)070 (HeartGold,SoulSilver)",046,45,55,Mushroom Pokmon,25, Bug Grass ,11.9 lbs (5.4 kg), Paras is a Bug/Grass type Pokmon introduced in Generation 1. It is known as the Mushroom Pokmon. ,Paras
46,Dry SkinEffect SporeDamp (hidden ability),95,128,70 (normal),"75 (9.8% with PokBall, full HP)",80," 2 Attack, 1 Defense"," Bug, Grass ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,60,3′3″ (0.99m),Parasekuto,"047 (Red,Blue,Yellow,FireRed,LeafGreen)071 (Gold,Silver,Crystal)071 (HeartGold,SoulSilver)",047,60,80,Mushroom Pokmon,30, Bug Grass ,65 lbs (29.5 kg), Parasect is a Bug/Grass type Pokmon introduced in Generation 1. It is known as the Mushroom Pokmon. ,Parasect
47,Compound EyesTinted LensRun Away (hidden ability),55,75,70 (normal),"190 (24.8% with PokBall, full HP)",50, 1 Special Defense, Bug ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,60,3′3″ (0.99m),Konpan,"048 (Red,Blue,Yellow,FireRed,LeafGreen)108 (Gold,Silver,Crystal)109 (HeartGold,SoulSilver)",048,40,55,Insect Pokmon,45, Bug Poison ,66.1 lbs (30.0 kg), Venonat is a Bug/Poison type Pokmon introduced in Generation 1. It is known as the Insect Pokmon. ,Venonat
48,Shield DustTinted LensWonder Skin (hidden ability),65,138,70 (normal),"75 (9.8% with PokBall, full HP)",60," 1 Special Attack, 1 Speed", Bug ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,70,4′11″ (1.50m),Morufon,"049 (Red,Blue,Yellow,FireRed,LeafGreen)109 (Gold,Silver,Crystal)110 (HeartGold,SoulSilver)",049,90,75,Poison Moth Pokmon,90, Bug Poison ,27.6 lbs (12.5 kg), Venomoth is a Bug/Poison type Pokmon introduced in Generation 1. It is known as the Poison Moth Pokmon. ,Venomoth
49,Arena TrapSand VeilSand Force (hidden ability),55,81,70 (normal),"255 (33.3% with PokBall, full HP)",25, 1 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,10,0′8″ (0.20m),Diguda,"050 (Red,Blue,Yellow,FireRed,LeafGreen)132 (Gold,Silver,Crystal)134 (HeartGold,SoulSilver)001 (X,Y)",050,35,45,Mole Pokmon,95, Ground ,1.8 lbs (0.8 kg), Diglett is a Ground type Pokmon introduced in Generation 1. It is known as the Mole Pokmon. ,Diglett
50,Arena TrapSand VeilSand Force (hidden ability),80,153,70 (normal),"50 (6.5% with PokBall, full HP)",50, 2 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,35,2′4″ (0.71m),Dagutorio,"051 (Red,Blue,Yellow,FireRed,LeafGreen)133 (Gold,Silver,Crystal)135 (HeartGold,SoulSilver)002 (X,Y)",051,50,70,Mole Pokmon,120, Ground ,73.4 lbs (33.3 kg), Dugtrio is a Ground type Pokmon introduced in Generation 1. It is known as the Mole Pokmon. ,Dugtrio
51,PickupTechnicianUnnerve (hidden ability),45,69,70 (normal),"255 (33.3% with PokBall, full HP)",35, 1 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,40,1′4″ (0.41m),Nyasu,"052 (Red,Blue,Yellow,FireRed,LeafGreen)136 (Gold,Silver,Crystal)138 (HeartGold,SoulSilver)",052,40,40,Scratch Cat Pokmon,90, Normal ,9.3 lbs (4.2 kg), Meowth is a Normal type Pokmon introduced in Generation 1. It is known as the Scratch Cat Pokmon. Meowth has a new Alolan form introduced in Pokmon Sun/Moon. ,Meowth
52,LimberTechnicianUnnerve (hidden ability),70,148,70 (normal),"90 (11.8% with PokBall, full HP)",60, 2 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,65,3′3″ (0.99m),Perushian,"053 (Red,Blue,Yellow,FireRed,LeafGreen)137 (Gold,Silver,Crystal)139 (HeartGold,SoulSilver)",053,65,65,Classy Cat Pokmon,115, Normal ,70.5 lbs (32.0 kg), Persian is a Normal type Pokmon introduced in Generation 1. It is known as the Classy Cat Pokmon. ,Persian
53,Cloud NineDampSwift Swim (hidden ability),52,80,70 (normal),"190 (24.8% with PokBall, full HP)",48, 1 Special Attack," Field, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,50,2′7″ (0.79m),Kodakku,"054 (Red,Blue,Yellow,FireRed,LeafGreen)138 (Gold,Silver,Crystal)158 (Ruby,Sapphire,Emerald)043 (Diamond,Pearl)043 (Platinum)140 (HeartGold,SoulSilver)028 (Black 2,White 2)059 (X,Y)165 (Omega Ruby,Alpha Sapphire)",054,65,50,Duck Pokmon,55, Water ,43.2 lbs (19.6 kg), Psyduck is a Water type Pokmon introduced in Generation 1. It is known as the Duck Pokmon. ,Psyduck
54,Cloud NineDampSwift Swim (hidden ability),82,174,70 (normal),"75 (9.8% with PokBall, full HP)",78, 2 Special Attack," Field, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,80,5′7″ (1.70m),Gorudakku,"055 (Red,Blue,Yellow,FireRed,LeafGreen)139 (Gold,Silver,Crystal)159 (Ruby,Sapphire,Emerald)044 (Diamond,Pearl)044 (Platinum)141 (HeartGold,SoulSilver)029 (Black 2,White 2)060 (X,Y)166 (Omega Ruby,Alpha Sapphire)",055,95,80,Duck Pokmon,85, Water ,168.9 lbs (76.6 kg), Golduck is a Water type Pokmon introduced in Generation 1. It is known as the Duck Pokmon. ,Golduck
55,Anger PointVital SpiritDefiant (hidden ability),80,74,70 (normal),"190 (24.8% with PokBall, full HP)",35, 1 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,40,1′8″ (0.51m),Manki,"056 (Red,Blue,Yellow,FireRed,LeafGreen)134 (Gold,Silver,Crystal)136 (HeartGold,SoulSilver)",056,35,45,Pig Monkey Pokmon,70, Fighting ,61.7 lbs (28.0 kg), Mankey is a Fighting type Pokmon introduced in Generation 1. It is known as the Pig Monkey Pokmon. ,Mankey
56,Anger PointVital SpiritDefiant (hidden ability),105,149,70 (normal),"75 (9.8% with PokBall, full HP)",60, 2 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,65,3′3″ (0.99m),Okorizaru,"057 (Red,Blue,Yellow,FireRed,LeafGreen)135 (Gold,Silver,Crystal)137 (HeartGold,SoulSilver)",057,60,70,Pig Monkey Pokmon,95, Fighting ,70.5 lbs (32.0 kg), Primeape is a Fighting type Pokmon introduced in Generation 1. It is known as the Pig Monkey Pokmon. ,Primeape
57,Flash FireIntimidateJustified (hidden ability),70,91,70 (normal),"190 (24.8% with PokBall, full HP)",45, 1 Attack, Field ,"21 (minimum 5,355 steps)","75% male, 25% female",Slow,55,2′4″ (0.71m),Gadi,"058 (Red,Blue,Yellow,FireRed,LeafGreen)127 (Gold,Silver,Crystal)129 (HeartGold,SoulSilver)051 (Black 2,White 2)",058,70,50,Puppy Pokmon,60, Fire ,41.9 lbs (19.0 kg), Growlithe is a Fire type Pokmon introduced in Generation 1. It is known as the Puppy Pokmon. ,Growlithe
58,Flash FireIntimidateJustified (hidden ability),110,213,70 (normal),"75 (9.8% with PokBall, full HP)",80, 2 Attack, Field ,"21 (minimum 5,355 steps)","75% male, 25% female",Slow,90,6′3″ (1.91m),Uindi,"059 (Red,Blue,Yellow,FireRed,LeafGreen)128 (Gold,Silver,Crystal)130 (HeartGold,SoulSilver)052 (Black 2,White 2)",059,100,80,Legendary Pokmon,95, Fire ,341.7 lbs (155.0 kg), Arcanine is a Fire type Pokmon introduced in Generation 1. It is known as the Legendary Pokmon. ,Arcanine
59,DampWater AbsorbSwift Swim (hidden ability),50,77,70 (normal),"255 (33.3% with PokBall, full HP)",40, 1 Speed, Water 1 ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,40,2′0″ (0.61m),Nyoromo,"060 (Red,Blue,Yellow,FireRed,LeafGreen)072 (Gold,Silver,Crystal)072 (HeartGold,SoulSilver)033 (X,Y)",060,40,40,Tadpole Pokmon,90, Water ,27.3 lbs (12.4 kg), Poliwag is a Water type Pokmon introduced in Generation 1. It is known as the Tadpole Pokmon. ,Poliwag
60,DampWater AbsorbSwift Swim (hidden ability),65,131,70 (normal),"120 (15.7% with PokBall, full HP)",65, 2 Speed, Water 1 ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,65,3′3″ (0.99m),Nyorozo,"061 (Red,Blue,Yellow,FireRed,LeafGreen)073 (Gold,Silver,Crystal)073 (HeartGold,SoulSilver)034 (X,Y)",061,50,50,Tadpole Pokmon,90, Water ,44.1 lbs (20.0 kg), Poliwhirl is a Water type Pokmon introduced in Generation 1. It is known as the Tadpole Pokmon. ,Poliwhirl
61,DampWater AbsorbSwift Swim (hidden ability),95,185,70 (normal),"45 (5.9% with PokBall, full HP)",95, 3 Defense, Water 1 ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,90,4′3″ (1.30m),Nyorobon,"062 (Red,Blue,Yellow,FireRed,LeafGreen)074 (Gold,Silver,Crystal)074 (HeartGold,SoulSilver)035 (X,Y)",062,70,90,Tadpole Pokmon,70, Water Fighting ,119 lbs (54.0 kg), Poliwrath is a Water/Fighting type Pokmon introduced in Generation 1. It is known as the Tadpole Pokmon. ,Poliwrath
62,Inner FocusSynchronizeMagic Guard (hidden ability),20,75,70 (normal),"200 (26.1% with PokBall, full HP)",15, 1 Special Attack, Human-Like ,"21 (minimum 5,355 steps)","75% male, 25% female",Medium Slow,25,2′11″ (0.89m),Kesyi,"063 (Red,Blue,Yellow,FireRed,LeafGreen)089 (Gold,Silver,Crystal)039 (Ruby,Sapphire,Emerald)020 (Diamond,Pearl)020 (Platinum)089 (HeartGold,SoulSilver)102 (X,Y)040 (Omega Ruby,Alpha Sapphire)",063,105,55,Psi Pokmon,90, Psychic ,43 lbs (19.5 kg), Abra is a Psychic type Pokmon introduced in Generation 1. It is known as the Psi Pokmon. ,Abra
63,Inner FocusSynchronizeMagic Guard (hidden ability),35,145,70 (normal),"100 (13.1% with PokBall, full HP)",30, 2 Special Attack, Human-Like ,"21 (minimum 5,355 steps)","75% male, 25% female",Medium Slow,40,4′3″ (1.30m),Yungera,"064 (Red,Blue,Yellow,FireRed,LeafGreen)090 (Gold,Silver,Crystal)040 (Ruby,Sapphire,Emerald)021 (Diamond,Pearl)021 (Platinum)090 (HeartGold,SoulSilver)103 (X,Y)041 (Omega Ruby,Alpha Sapphire)",064,120,70,Psi Pokmon,105, Psychic ,124.6 lbs (56.5 kg), Kadabra is a Psychic type Pokmon introduced in Generation 1. It is known as the Psi Pokmon. ,Kadabra
64,Inner FocusSynchronizeMagic Guard (hidden ability),50,186,70 (normal),"50 (6.5% with PokBall, full HP)",45, 3 Special Attack, Human-Like ,"21 (minimum 5,355 steps)","75% male, 25% female",Medium Slow,55,4′11″ (1.50m),Fudin,"065 (Red,Blue,Yellow,FireRed,LeafGreen)091 (Gold,Silver,Crystal)041 (Ruby,Sapphire,Emerald)022 (Diamond,Pearl)022 (Platinum)091 (HeartGold,SoulSilver)104 (X,Y)042 (Omega Ruby,Alpha Sapphire)",065,135,95,Psi Pokmon,120, Psychic ,105.8 lbs (48.0 kg)," Alakazam is a Psychic type Pokmon introduced in Generation 1. It is known as the Psi Pokmon. Alakazam has a Mega Evolution, available from X & Y onwards. ",Alakazam
65,GutsNo GuardSteadfast (hidden ability),80,75,70 (normal),"180 (23.5% with PokBall, full HP)",50, 1 Attack, Human-Like ,"21 (minimum 5,355 steps)","75% male, 25% female",Medium Slow,70,2′7″ (0.79m),Wanriki,"066 (Red,Blue,Yellow,FireRed,LeafGreen)140 (Gold,Silver,Crystal)073 (Ruby,Sapphire,Emerald)040 (Diamond,Pearl)040 (Platinum)142 (HeartGold,SoulSilver)057 (X,Y)075 (Omega Ruby,Alpha Sapphire)",066,35,35,Superpower Pokmon,35, Fighting ,43 lbs (19.5 kg), Machop is a Fighting type Pokmon introduced in Generation 1. It is known as the Superpower Pokmon. ,Machop
66,GutsNo GuardSteadfast (hidden ability),100,146,70 (normal),"90 (11.8% with PokBall, full HP)",70, 2 Attack, Human-Like ,"21 (minimum 5,355 steps)","75% male, 25% female",Medium Slow,80,4′11″ (1.50m),Goriki,"067 (Red,Blue,Yellow,FireRed,LeafGreen)141 (Gold,Silver,Crystal)074 (Ruby,Sapphire,Emerald)041 (Diamond,Pearl)041 (Platinum)143 (HeartGold,SoulSilver)058 (X,Y)076 (Omega Ruby,Alpha Sapphire)",067,50,60,Superpower Pokmon,45, Fighting ,155.4 lbs (70.5 kg), Machoke is a Fighting type Pokmon introduced in Generation 1. It is known as the Superpower Pokmon. ,Machoke
67,GutsNo GuardSteadfast (hidden ability),130,193,70 (normal),"45 (5.9% with PokBall, full HP)",80, 3 Attack, Human-Like ,"21 (minimum 5,355 steps)","75% male, 25% female",Medium Slow,90,5′3″ (1.60m),Kairiki,"068 (Red,Blue,Yellow,FireRed,LeafGreen)142 (Gold,Silver,Crystal)075 (Ruby,Sapphire,Emerald)042 (Diamond,Pearl)042 (Platinum)144 (HeartGold,SoulSilver)059 (X,Y)077 (Omega Ruby,Alpha Sapphire)",068,65,85,Superpower Pokmon,55, Fighting ,286.6 lbs (130.0 kg), Machamp is a Fighting type Pokmon introduced in Generation 1. It is known as the Superpower Pokmon. ,Machamp
68,ChlorophyllGluttony (hidden ability),75,84,70 (normal),"255 (33.3% with PokBall, full HP)",35, 1 Attack, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,50,2′4″ (0.71m),Madatsubomi,"069 (Red,Blue,Yellow,FireRed,LeafGreen)064 (Gold,Silver,Crystal)064 (HeartGold,SoulSilver)026 (X,Y)",069,70,30,Flower Pokmon,40, Grass Poison ,8.8 lbs (4.0 kg), Bellsprout is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Flower Pokmon. ,Bellsprout
69,ChlorophyllGluttony (hidden ability),90,151,70 (normal),"120 (15.7% with PokBall, full HP)",50, 2 Attack, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,65,3′3″ (0.99m),Utsudon,"070 (Red,Blue,Yellow,FireRed,LeafGreen)065 (Gold,Silver,Crystal)065 (HeartGold,SoulSilver)027 (X,Y)",070,85,45,Flycatcher Pokmon,55, Grass Poison ,14.1 lbs (6.4 kg), Weepinbell is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Flycatcher Pokmon. ,Weepinbell
70,ChlorophyllGluttony (hidden ability),105,191,70 (normal),"45 (5.9% with PokBall, full HP)",65, 3 Attack, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,80,5′7″ (1.70m),Utsubotto,"071 (Red,Blue,Yellow,FireRed,LeafGreen)066 (Gold,Silver,Crystal)066 (HeartGold,SoulSilver)028 (X,Y)",071,100,70,Flycatcher Pokmon,70, Grass Poison ,34.2 lbs (15.5 kg), Victreebel is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Flycatcher Pokmon. ,Victreebel
71,Clear BodyLiquid OozeRain Dish (hidden ability),40,105,70 (normal),"190 (24.8% with PokBall, full HP)",35, 1 Special Defense, Water 3 ,"21 (minimum 5,355 steps)","50% male, 50% female",Slow,40,2′11″ (0.89m),Menokurage,"072 (Red,Blue,Yellow,FireRed,LeafGreen)162 (Gold,Silver,Crystal)066 (Ruby,Sapphire,Emerald)136 (Diamond,Pearl)136 (Platinum)164 (HeartGold,SoulSilver)025 (X,Y)068 (Omega Ruby,Alpha Sapphire)",072,50,100,Jellyfish Pokmon,70, Water Poison ,100.3 lbs (45.5 kg), Tentacool is a Water/Poison type Pokmon introduced in Generation 1. It is known as the Jellyfish Pokmon. ,Tentacool
72,Clear BodyLiquid OozeRain Dish (hidden ability),70,205,70 (normal),"60 (7.8% with PokBall, full HP)",65, 2 Special Defense, Water 3 ,"21 (minimum 5,355 steps)","50% male, 50% female",Slow,80,5′3″ (1.60m),Dokukurage,"073 (Red,Blue,Yellow,FireRed,LeafGreen)163 (Gold,Silver,Crystal)067 (Ruby,Sapphire,Emerald)137 (Diamond,Pearl)137 (Platinum)165 (HeartGold,SoulSilver)026 (X,Y)069 (Omega Ruby,Alpha Sapphire)",073,80,120,Jellyfish Pokmon,100, Water Poison ,121.3 lbs (55.0 kg), Tentacruel is a Water/Poison type Pokmon introduced in Generation 1. It is known as the Jellyfish Pokmon. ,Tentacruel
73,Rock HeadSturdySand Veil (hidden ability),80,73,70 (normal),"255 (33.3% with PokBall, full HP)",100, 1 Defense, Mineral ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,40,1′4″ (0.41m),Ishitsubute,"074 (Red,Blue,Yellow,FireRed,LeafGreen)034 (Gold,Silver,Crystal)057 (Ruby,Sapphire,Emerald)031 (Diamond,Pearl)031 (Platinum)034 (HeartGold,SoulSilver)009 (X,Y)058 (Omega Ruby,Alpha Sapphire)",074,30,30,Rock Pokmon,20, Rock Ground ,44.1 lbs (20.0 kg), Geodude is a Rock/Ground type Pokmon introduced in Generation 1. It is known as the Rock Pokmon. ,Geodude
74,Rock HeadSturdySand Veil (hidden ability),95,134,70 (normal),"120 (15.7% with PokBall, full HP)",115, 2 Defense, Mineral ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,55,3′3″ (0.99m),Goron,"075 (Red,Blue,Yellow,FireRed,LeafGreen)035 (Gold,Silver,Crystal)058 (Ruby,Sapphire,Emerald)032 (Diamond,Pearl)032 (Platinum)035 (HeartGold,SoulSilver)010 (X,Y)059 (Omega Ruby,Alpha Sapphire)",075,45,45,Rock Pokmon,35, Rock Ground ,231.5 lbs (105.0 kg), Graveler is a Rock/Ground type Pokmon introduced in Generation 1. It is known as the Rock Pokmon. ,Graveler
75,Rock HeadSturdySand Veil (hidden ability),120,177,70 (normal),"45 (5.9% with PokBall, full HP)",130, 3 Defense, Mineral ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,80,4′7″ (1.40m),Goronya,"076 (Red,Blue,Yellow,FireRed,LeafGreen)036 (Gold,Silver,Crystal)059 (Ruby,Sapphire,Emerald)033 (Diamond,Pearl)033 (Platinum)036 (HeartGold,SoulSilver)011 (X,Y)060 (Omega Ruby,Alpha Sapphire)",076,55,65,Megaton Pokmon,45, Rock Ground ,661.4 lbs (300.0 kg), Golem is a Rock/Ground type Pokmon introduced in Generation 1. It is known as the Megaton Pokmon. ,Golem
76,Flash FireRun AwayFlame Body (hidden ability),85,152,70 (normal),"190 (24.8% with PokBall, full HP)",55, 1 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,50,3′3″ (0.99m),Ponita,"077 (Red,Blue,Yellow,FireRed,LeafGreen)201 (Gold,Silver,Crystal)090 (Diamond,Pearl)090 (Platinum)206 (HeartGold,SoulSilver)",077,65,65,Fire Horse Pokmon,90, Fire ,66.1 lbs (30.0 kg), Ponyta is a Fire type Pokmon introduced in Generation 1. It is known as the Fire Horse Pokmon. ,Ponyta
77,Flash FireRun AwayFlame Body (hidden ability),100,192,70 (normal),"60 (7.8% with PokBall, full HP)",70, 2 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,65,5′7″ (1.70m),Gyaroppu,"078 (Red,Blue,Yellow,FireRed,LeafGreen)202 (Gold,Silver,Crystal)091 (Diamond,Pearl)091 (Platinum)207 (HeartGold,SoulSilver)",078,80,80,Fire Horse Pokmon,105, Fire ,209.4 lbs (95.0 kg), Rapidash is a Fire type Pokmon introduced in Generation 1. It is known as the Fire Horse Pokmon. ,Rapidash
78,ObliviousOwn TempoRegenerator (hidden ability),65,99,70 (normal),"190 (24.8% with PokBall, full HP)",65, 1 HP," Monster, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,90,3′11″ (1.19m),Yadon,"079 (Red,Blue,Yellow,FireRed,LeafGreen)080 (Gold,Silver,Crystal)080 (HeartGold,SoulSilver)133 (X,Y)",079,40,40,Dopey Pokmon,15, Water Psychic ,79.4 lbs (36.0 kg), Slowpoke is a Water/Psychic type Pokmon introduced in Generation 1. It is known as the Dopey Pokmon. ,Slowpoke
79,ObliviousOwn TempoRegenerator (hidden ability),75,164,70 (normal),"75 (9.8% with PokBall, full HP)",110, 2 Defense," Monster, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,95,5′3″ (1.60m),Yadoran,"080 (Red,Blue,Yellow,FireRed,LeafGreen)081 (Gold,Silver,Crystal)081 (HeartGold,SoulSilver)134 (X,Y)",080,100,80,Hermit Crab Pokmon,30, Water Psychic ,173.1 lbs (78.5 kg)," Slowbro is a Water/Psychic type Pokmon introduced in Generation 1. It is known as the Hermit Crab Pokmon. Slowbro has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Slowbro
80,Magnet PullSturdyAnalytic (hidden ability),35,89,70 (normal),"190 (24.8% with PokBall, full HP)",70, 1 Special Attack, Mineral ,"21 (minimum 5,355 steps)",Genderless,Medium Fast,25,1′0″ (0.30m),Koiru,"081 (Red,Blue,Yellow,FireRed,LeafGreen)118 (Gold,Silver,Crystal)082 (Ruby,Sapphire,Emerald)178 (Platinum)119 (HeartGold,SoulSilver)048 (Black 2,White 2)069 (X,Y)084 (Omega Ruby,Alpha Sapphire)",081,95,55,Magnet Pokmon,45, Electric Steel ,13.2 lbs (6.0 kg)," Magnemite is an Electric/Steel type Pokmon introduced in Generation 1. It is known as the Magnet Pokmon. Prior to Generation 2, Magnemite was a pure Electric type. ",Magnemite
81,Magnet PullSturdyAnalytic (hidden ability),60,161,70 (normal),"60 (7.8% with PokBall, full HP)",95, 2 Special Attack, Mineral ,"21 (minimum 5,355 steps)",Genderless,Medium Fast,50,3′3″ (0.99m),Reakoiru,"082 (Red,Blue,Yellow,FireRed,LeafGreen)119 (Gold,Silver,Crystal)083 (Ruby,Sapphire,Emerald)179 (Platinum)120 (HeartGold,SoulSilver)049 (Black 2,White 2)070 (X,Y)085 (Omega Ruby,Alpha Sapphire)",082,120,70,Magnet Pokmon,70, Electric Steel ,132.3 lbs (60.0 kg)," Magneton is an Electric/Steel type Pokmon introduced in Generation 1. It is known as the Magnet Pokmon. Prior to Generation 2, Magneton was a pure Electric type. ",Magneton
82,Inner FocusKeen EyeDefiant (hidden ability),65,94,70 (normal),"45 (5.9% with PokBall, full HP)",55, 1 Attack," Field, Flying ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,52,2′7″ (0.79m),Kamonegi,"083 (Red,Blue,Yellow,FireRed,LeafGreen)158 (Gold,Silver,Crystal)160 (HeartGold,SoulSilver)061 (X,Y)",083,58,62,Wild Duck Pokmon,60, Normal Flying ,33.1 lbs (15.0 kg), Farfetch'd is a Normal/Flying type Pokmon introduced in Generation 1. It is known as the Wild Duck Pokmon. ,Farfetchd
83,Early BirdRun AwayTangled Feet (hidden ability),85,96,70 (normal),"190 (24.8% with PokBall, full HP)",45, 1 Attack, Flying ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,35,4′7″ (1.40m),Dodo,"084 (Red,Blue,Yellow,FireRed,LeafGreen)199 (Gold,Silver,Crystal)092 (Ruby,Sapphire,Emerald)204 (HeartGold,SoulSilver)094 (X,Y)095 (Omega Ruby,Alpha Sapphire)",084,35,35,Twin Bird Pokmon,75, Normal Flying ,86.4 lbs (39.2 kg), Doduo is a Normal/Flying type Pokmon introduced in Generation 1. It is known as the Twin Bird Pokmon. ,Doduo
84,Early BirdRun AwayTangled Feet (hidden ability),110,158,70 (normal),"45 (5.9% with PokBall, full HP)",70, 2 Attack, Flying ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,60,5′11″ (1.80m),Dodorio,"085 (Red,Blue,Yellow,FireRed,LeafGreen)200 (Gold,Silver,Crystal)093 (Ruby,Sapphire,Emerald)205 (HeartGold,SoulSilver)095 (X,Y)096 (Omega Ruby,Alpha Sapphire)",085,60,60,Triple Bird Pokmon,100, Normal Flying ,187.8 lbs (85.2 kg), Dodrio is a Normal/Flying type Pokmon introduced in Generation 1. It is known as the Triple Bird Pokmon. ,Dodrio
